Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (? Cr)
01-Jan-21,11535.85,11594.85,11532.6,11574.85,2196136531,37078.27
04-Jan-21,11651.5,11703.25,11542.15,11691.8,3238422803,58243.99
05-Jan-21,11647.6,11780.8,11613.5,11767,2858312752,62437.46
06-Jan-21,11806.75,11817.1,11640.15,11737.9,3205480948,72306.74
07-Jan-21,11833.6,11834.4,11753.8,11766.1,2917179475,68027.09
08-Jan-21,11865.5,11940.45,11841.85,11925.6,2872214697,70912.11
11-Jan-21,12024.65,12024.65,11921.75,12006.5,2406296224,67129.53
12-Jan-21,12000.8,12083.7,11969.75,12058.35,3495364856,77259.12
13-Jan-21,12123,12133.4,11925,12041.1,3837512381,81235.23
14-Jan-21,12043.4,12081.55,11976.15,12069.5,2480285265,66898.02
15-Jan-21,12078.6,12100.85,11864.05,11931.2,3917209536,70925.19
18-Jan-21,11943.65,11948.2,11733.35,11776.2,2837637732,68505.23
19-Jan-21,11851.15,11993.3,11849.15,11981.85,2212472618,58850.48
20-Jan-21,12002.1,12092.05,11987.6,12078.35,2407564639,62345.33
21-Jan-21,12154.7,12167.95,11959.6,12015.95,2731312071,77392.53
22-Jan-21,12020.3,12053.1,11842.4,11854.5,3039832960,80443.11
25-Jan-21,11951.1,11968.4,11719.55,11743.7,2692961157,71357.07
27-Jan-21,11744.3,11744.3,11511.55,11546.35,2600763378,68325.45
28-Jan-21,11419.3,11503.2,11365.85,11442.55,2946474453,68536.56
29-Jan-21,11549.85,11568.9,11273.55,11302.4,2755193206,81015.99
01-Feb-21,11396.9,11806.45,11304,11770.15,3206044317,84261.66
02-Feb-21,11921.7,12102.6,11916.65,12053.25,3115606209,93755.74
03-Feb-21,12139.7,12234.7,12005.4,12174.05,3076713409,85394.64
04-Feb-21,12184.65,12297.55,12140.85,12285.85,3399706152,86049.57
05-Feb-21,12345.25,12386.25,12247.45,12279.85,3526707080,90707.5
08-Feb-21,12389.5,12469.3,12376.65,12441.3,2547801915,72771.16
09-Feb-21,12487.6,12545.45,12396.2,12434.2,2929109749,77437.76
10-Feb-21,12452.95,12490.45,12347.1,12452.45,2382581258,74942.94
11-Feb-21,12433.5,12522.45,12426.15,12514.1,2377558184,61968.81
